t__s,ACT_RUDDER.Position_CMD,ACT_RUDDER.Position_FB,ACT_RUDDER.Torque_FB,ACT_RUDDER.Temperature_FB__dC,ACT_RUDDER.Voltage_FB__V
32.911934,8368,8404,191,25,6.05
33.011953,8397,8360,191,25,6.05
33.111934,8413,8408,191,25,6.08
33.211954,8419,8408,0,25,6.08
33.311943,8380,8412,0,25,6.08
33.411953,8311,8356,0,25,6.05
33.511933,8351,8328,175,25,6.05
33.61196,8443,8408,175,25,6.05
33.711935,8376,8420,175,25,6.08
33.811982,8289,8332,114,25,6.08
33.911933,8392,8308,114,25,6.06
34.011953,8368,8400,114,25,6.06
34.111933,8276,8320,114,25,6.05
34.211951,8349,8300,90,25,6.05
34.311933,8417,8356,90,25,6.05
34.411952,8394,8448,90,25,6.09
34.511933,8320,8348,100,25,6.09
34.611951,8348,8340,100,25,6.09
34.711934,8366,8352,100,25,6.04
34.811981,8364,8368,206,25,6.04
34.911952,8349,8352,206,25,6.05
35.011943,8344,8348,206,25,6.05
35.111934,8340,8348,206,25,6.02
35.211956,8331,8328,3,25,6.02
35.311934,8265,8288,3,25,6.02
35.411978,8277,8260,3,25,6.03
35.511935,8352,8324,155,25,6.03
35.611999,8359,8364,155,25,6.03
35.711934,8294,8336,155,25,6.01
35.811949,8298,8296,146,25,6.01
35.911934,8337,8308,146,25,6.01
36.01194,8430,8368,146,25,6.01
36.111936,8408,8408,146,25,6.05
36.211941,8401,8408,44,25,6.05
36.31194,8408,8380,44,25,6.05
36.411944,8398,8408,44,25,6.08
36.511935,8343,8392,259,25,6.08
36.611949,8304,8328,259,25,6.08
36.71194,8351,8316,259,25,6.05
36.811959,8311,8352,61,25,6.05
36.911933,8395,8348,61,25,6.06
37.011947,8396,8404,61,25,6.06
37.111935,8344,8388,61,25,6.03
37.21195,8376,8340,81,25,6.03
37.311933,8407,8400,81,25,6.03
37.411954,8220,8312,81,25,6.01
37.511935,8368,8276,13,25,6.01
37.61195,8377,8380,13,25,6.01
37.711955,8367,8376,13,25,6.08
37.811975,8405,8400,196,25,6.08
37.911961,8376,8392,196,25,6.07
38.011952,8328,8344,196,25,6.07
38.111975,8463,8376,196,25,6.08
38.211952,8471,8480,0,25,6.08
38.311936,8426,8460,0,25,6.08
38.41195,8407,8400,0,25,6.09
38.511933,8381,8400,126,25,6.09
38.611977,8328,8348,126,25,6.09
38.711933,8402,8336,126,25,6.08
38.811984,8413,8416,75,25,6.08
38.911935,8386,8380,75,25,6.09
39.011951,8476,8412,75,25,6.09
39.111932,8374,8420,75,25,6.09
39.211951,8426,8392,116,25,6.09
39.311932,8393,8420,116,25,6.09
39.411951,8329,8360,116,25,6.06
39.511934,8298,8316,121,25,6.06
39.611953,8287,8300,121,25,6.06
39.711934,8261,8264,121,25,7.41
39.811977,8356,8332,23,25,7.41
39.911947,8350,8348,23,25,7.41
40.011952,8404,8364,23,25,7.41
40.111977,8367,8384,23,25,7.43
40.211952,8440,8380,302,25,7.43
40.311951,8474,8496,302,25,7.43
40.411956,8373,8416,302,25,7.43
40.511934,8363,8368,39,25,7.43
40.611952,8373,8364,39,25,7.43
40.711934,8302,8344,39,25,7.41
40.811978,8349,8312,148,25,7.41
40.911933,8321,8356,148,25,7.41
41.011936,8291,8304,148,25,7.41
41.111933,8348,8300,148,25,7.42
41.211934,8353,8344,112,25,7.42
41.311932,8356,8348,112,25,7.42
41.411941,8358,8352,112,25,7.38
41.511933,8359,8352,76,25,7.38
41.611934,8361,8352,76,25,7.38
41.711933,8362,8356,76,25,7.39
41.811946,8362,8356,75,25,7.39
41.911933,8363,8356,75,25,7.41
42.011942,8362,8356,75,25,7.41
42.111933,8364,8360,75,25,7.42
42.211935,8362,8360,0,25,7.42
42.311932,8364,8360,0,25,7.42
42.411933,8370,8360,0,25,7.42
42.511932,8368,8364,0,25,7.42
42.611936,8361,8364,0,25,7.42
42.711931,8357,8360,0,25,7.4
42.811953,8339,8352,73,25,7.4
42.911935,8330,8328,73,25,7.38
43.011942,8341,8328,73,25,7.38
43.111942,8375,8356,73,25,7.41
43.211946,8426,8408,58,25,7.41
43.311933,8409,8420,58,25,7.41
43.411943,8360,8396,58,25,7.36
43.511932,8423,8364,146,25,7.36
43.611947,8366,8412,146,25,7.36
43.711934,8361,8340,146,25,7.41
43.811976,8362,8364,145,25,7.41
43.911941,8398,8368,145,25,7.41
44.01195,8353,8388,145,25,7.41
44.111933,8324,8340,145,25,7.42
44.21195,8405,8380,0,25,7.42
44.311933,8512,8404,0,25,7.42
44.411949,8432,8552,0,25,7.41
44.511933,8381,8392,116,25,7.41
44.611949,8400,8428,116,25,7.41
44.71194,8237,8308,116,25,7.44
44.811982,8406,8296,129,25,7.44
44.911933,8358,8380,129,25,7.45
45.011952,7953,8224,129,25,7.45
45.111935,8276,8000,129,25,7.43
45.211951,8539,8380,175,25,7.43
45.311934,8255,8488,175,25,7.43
45.411951,8010,8092,175,25,7.42
45.511935,8152,8056,17,25,7.42
45.611953,8291,8152,17,25,7.42
45.711934,8452,8372,17,25,7.44
45.811976,7986,8212,267,25,7.44
45.911934,8035,7952,267,25,7.44
46.011953,8262,8172,267,25,7.44
46.111933,8023,8096,267,25,7.46
46.211953,8375,8088,167,25,7.46
46.311938,8325,8448,167,25,7.46
46.411951,8216,8204,167,25,7.46
46.511934,8143,8100,254,25,7.46
46.611951,8200,8236,254,25,7.46
46.711934,8151,8256,254,25,7.43
46.811976,8161,8012,266,25,7.43
46.911935,8195,8268,266,25,7.45
47.011951,7927,8000,266,25,7.45
47.111935,8237,8056,266,25,7.43
47.211951,8300,8324,11,25,7.43
47.311935,8755,8504,11,25,7.43
47.41195,7800,8384,11,25,7.36
47.511938,7816,7836,27,25,7.36
47.611951,7914,7800,27,25,7.36
47.711951,8403,8128,27,25,7.39
47.811976,8262,8340,221,25,7.39
47.911976,8418,8420,221,25,7.43
48.01195,8341,8364,221,25,7.43
48.11195,8304,8332,221,25,6.12
48.211953,8128,8256,334,25,6.12
48.311934,8372,8208,334,25,6.12
48.411951,8538,8456,334,25,6.1
48.511935,8302,8408,71,25,6.1
48.611951,8470,8368,71,25,6.1
48.711935,8453,8540,71,25,6.1
48.811976,8398,8420,119,25,6.1
48.911935,8297,8376,119,25,6.1
49.011958,8379,8324,119,25,6.1
49.111945,8309,8364,119,25,6.1
49.211952,8340,8288,83,25,6.1
49.311935,8300,8360,83,25,6.1
49.411951,8187,8232,83,25,6.1
49.511936,8667,8404,851,25,6.1
